תאריך,מחיר קניה,מחיר פדיון,שיעור הוספה (%),דמי ניהול (%),שווי נכסים במיל' ₪,דמי נאמנות
20/11/2024 00:00:00,1102.70,1102.70,0.000,0.190,4051.0,0.010
19/11/2024 00:00:00,1102.55,1102.55,0.000,0.190,4051.0,0.010
18/11/2024 00:00:00,1102.44,1102.44,0.000,0.190,4051.0,0.010
17/11/2024 00:00:00,1102.32,1102.32,0.000,0.190,4051.0,0.010
14/11/2024 00:00:00,1102.00,1102.00,0.000,0.190,4051.0,0.010
13/11/2024 00:00:00,1101.84,1101.84,0.000,0.190,4051.0,0.010
12/11/2024 00:00:00,1101.68,1101.68,0.000,0.190,4051.0,0.010
11/11/2024 00:00:00,1101.52,1101.52,0.000,0.190,4051.0,0.010
10/11/2024 00:00:00,1101.32,1101.32,0.000,0.190,3930.3,0.010
07/11/2024 00:00:00,1101.01,1101.01,0.000,0.190,3930.3,0.010
06/11/2024 00:00:00,1100.91,1100.91,0.000,0.190,3930.3,0.010
05/11/2024 00:00:00,1100.73,1100.73,0.000,0.190,3930.3,0.010
04/11/2024 00:00:00,1100.52,1100.52,0.000,0.190,3930.3,0.010
03/11/2024 00:00:00,1100.25,1100.25,0.000,0.190,3930.3,0.010
31/10/2024 00:00:00,1100.05,1100.05,0.000,0.190,3930.3,0.010
30/10/2024 00:00:00,1099.92,1099.92,0.000,0.190,3930.3,0.010
29/10/2024 00:00:00,1099.68,1099.68,0.000,0.190,3930.3,0.010
28/10/2024 00:00:00,1099.42,1099.42,0.000,0.190,3930.3,0.010
27/10/2024 00:00:00,1099.27,1099.27,0.000,0.190,3930.3,0.010
22/10/2024 00:00:00,1098.85,1098.85,0.000,0.190,3930.3,0.010
21/10/2024 00:00:00,1098.72,1098.72,0.000,0.190,3930.3,0.010
20/10/2024 00:00:00,1098.54,1098.54,0.000,0.190,3930.3,0.010
15/10/2024 00:00:00,1098.04,1098.04,0.000,0.190,3930.3,0.010
14/10/2024 00:00:00,1097.89,1097.89,0.000,0.190,3930.3,0.010
13/10/2024 00:00:00,1097.52,1097.52,0.000,0.190,3930.3,0.010
10/10/2024 00:00:00,1097.27,1097.27,0.000,0.190,3821.0,0.010
09/10/2024 00:00:00,1097.01,1097.01,0.000,0.190,3821.0,0.010
08/10/2024 00:00:00,1096.83,1096.83,0.000,0.190,3821.0,0.010
07/10/2024 00:00:00,1096.74,1096.74,0.000,0.190,3821.0,0.010
06/10/2024 00:00:00,1096.52,1096.52,0.000,0.190,3821.0,0.010
01/10/2024 00:00:00,1096.09,1096.09,0.000,0.190,3821.0,0.010
30/09/2024 00:00:00,1096.02,1096.02,0.000,0.190,3821.0,0.010
29/09/2024 00:00:00,1095.83,1095.83,0.000,0.190,3821.0,0.010
26/09/2024 00:00:00,1095.49,1095.49,0.000,0.190,3821.0,0.010
25/09/2024 00:00:00,1095.35,1095.35,0.000,0.190,3821.0,0.010
