תאריך,מחיר קניה,מחיר פדיון,שיעור הוספה (%),דמי ניהול (%),שווי נכסים במיל' ₪,דמי נאמנות
20/11/2024 00:00:00,642.14,642.14,0.000,2.460,215.2,0.050
19/11/2024 00:00:00,637.93,637.93,0.000,2.460,215.2,0.050
18/11/2024 00:00:00,634.97,634.97,0.000,2.460,215.2,0.050
17/11/2024 00:00:00,632.04,632.04,0.000,2.460,215.2,0.050
14/11/2024 00:00:00,631.79,631.79,0.000,2.460,215.2,0.050
13/11/2024 00:00:00,630.18,630.18,0.000,2.460,215.2,0.050
12/11/2024 00:00:00,624.92,624.92,0.000,2.460,215.2,0.050
11/11/2024 00:00:00,619.45,619.45,0.000,2.460,215.2,0.050
10/11/2024 00:00:00,617.67,617.67,0.000,2.460,203.8,0.050
07/11/2024 00:00:00,610.60,610.60,0.000,2.460,203.8,0.050
06/11/2024 00:00:00,615.09,615.09,0.000,2.460,203.8,0.050
05/11/2024 00:00:00,615.63,615.63,0.000,2.460,203.8,0.050
04/11/2024 00:00:00,615.39,615.39,0.000,2.460,203.8,0.050
03/11/2024 00:00:00,615.23,615.23,0.000,2.460,203.8,0.050
31/10/2024 00:00:00,612.42,612.42,0.000,2.460,203.8,0.050
30/10/2024 00:00:00,610.13,610.13,0.000,2.460,203.8,0.050
29/10/2024 00:00:00,604.23,604.23,0.000,2.460,203.8,0.050
28/10/2024 00:00:00,598.12,598.12,0.000,2.460,203.8,0.050
27/10/2024 00:00:00,597.79,597.79,0.000,2.460,203.8,0.050
22/10/2024 00:00:00,593.18,593.18,0.000,2.460,203.8,0.050
21/10/2024 00:00:00,592.59,592.59,0.000,2.460,196.1,0.050
20/10/2024 00:00:00,590.54,590.54,0.000,2.460,196.1,0.050
15/10/2024 00:00:00,584.07,584.07,0.000,2.460,196.1,0.050
14/10/2024 00:00:00,581.74,581.74,0.000,2.460,196.1,0.050
13/10/2024 00:00:00,582.67,582.67,0.000,2.460,196.1,0.050
10/10/2024 00:00:00,580.13,580.13,0.000,2.460,196.1,0.050
09/10/2024 00:00:00,581.58,581.58,0.000,2.460,196.1,0.050
08/10/2024 00:00:00,580.05,580.05,0.000,2.460,196.1,0.050
07/10/2024 00:00:00,581.61,581.61,0.000,2.460,196.1,0.050
06/10/2024 00:00:00,582.19,582.19,0.000,2.460,196.1,0.050
01/10/2024 00:00:00,582.64,582.64,0.000,2.460,196.1,0.050
30/09/2024 00:00:00,580.33,580.33,0.000,2.460,196.1,0.050
29/09/2024 00:00:00,579.22,579.22,0.000,2.460,196.1,0.050
26/09/2024 00:00:00,575.48,575.48,0.000,2.460,196.1,0.050
25/09/2024 00:00:00,570.40,570.40,0.000,2.460,196.1,0.050
24/09/2024 00:00:00,568.22,568.22,0.000,2.460,196.1,0.050
23/09/2024 00:00:00,564.20,564.20,0.000,2.460,196.1,0.050
22/09/2024 00:00:00,562.17,562.17,0.000,2.460,196.1,0.050
19/09/2024 00:00:00,559.20,559.20,0.000,2.460,196.1,0.050
18/09/2024 00:00:00,562.08,562.08,0.000,2.460,196.1,0.050
17/09/2024 00:00:00,560.54,560.54,0.000,2.460,196.1,0.050
16/09/2024 00:00:00,564.94,564.94,0.000,2.460,196.1,0.050
15/09/2024 00:00:00,569.52,569.52,0.000,2.460,196.1,0.050
12/09/2024 00:00:00,568.57,568.57,0.000,2.460,196.1,0.050
11/09/2024 00:00:00,565.37,565.37,0.000,2.460,196.1,0.050
10/09/2024 00:00:00,566.06,566.06,0.000,2.460,196.1,0.050
09/09/2024 00:00:00,564.26,564.26,0.000,2.460,196.1,0.050
08/09/2024 00:00:00,563.95,563.95,0.000,2.460,192.1,0.050
05/09/2024 00:00:00,567.62,567.62,0.000,2.460,192.1,0.050
04/09/2024 00:00:00,565.35,565.35,0.000,2.460,192.1,0.050
03/09/2024 00:00:00,568.95,568.95,0.000,2.460,192.1,0.050
02/09/2024 00:00:00,568.46,568.46,0.000,2.460,192.1,0.050
01/09/2024 00:00:00,565.58,565.58,0.000,2.460,192.1,0.050
29/08/2024 00:00:00,561.85,561.85,0.000,2.460,192.1,0.050
28/08/2024 00:00:00,559.78,559.78,0.000,2.460,192.1,0.050
27/08/2024 00:00:00,556.10,556.10,0.000,2.460,192.1,0.050
26/08/2024 00:00:00,554.26,554.26,0.000,2.460,192.1,0.050
